crop_type,year,harvest_product,total_harvested,harvested_unit,planted_area,harvested_area,field_id,org_id
CROP.CORN.COMMERCIAL,2016,grain,53290.6288518159,bu,40.38,560.0,cb1e3bd821dd673a0c378b16ba97075919aa993a,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2014,grain,40073.82155425186,bu,,,58d04a7094c1b08e9856932a02104d2a36b7b8ce,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.CORN.COMMERCIAL,2015,grain,45528.03394124395,bu,148.61,,5e3babe7b318f4245ceb16718665af0b54335443,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.SOYBEAN.COMMERCIAL,2015,grain,13927.33228047914,bu,25.0,,02dc3fe6f889f3ece8daf456d26464d381bc9e55,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2014,grain,59676.63487414576,bu,5.0269423,,109e500b323e0ef7baadd4409830c7619d8cfbfa,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2014,grain,67817.79234666718,bu,124.0504621,,a1b95c0d5d12da17a82e1af370743f9b174574e0,106e6791d0f181b391cde800e74fdc14d529dc0a
CROP.SOYBEAN.COMMERCIAL,2017,grain,16899.041091623385,bu,,,96086a4a633ca9059f8c0472c7e532c14606294a,fe62dee029474d52346542845674529025594056
CROP.CORN.COMMERCIAL,2017,grain,74801.7035911693,bu,32.78,,d1f129caa6ad88c0ca2b6b274dbb225c3aa3e5f8,fe62dee029474d52346542845674529025594056
CROP.SOYBEAN.COMMERCIAL,2015,grain,30341.901524173714,bu,80.21,,ed7e44f184a071a25c905e1ee9f73c6741e0bd01,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2015,grain,50987.86154343677,bu,179.12,,fd72b33016dc565f97e287594573282d0ae29f08,598d17ec200eeb9e27ae829746ccf47c57761bc1
CROP.CORN.COMMERCIAL,2016,grain,4109.4184019277545,bu,249.85,65.0,ceacbff5f896d6b9f5e1c7d3a520f1e832806158,b3bd5efa1dbecf1a1a564b8bc6303c4a2c162fb1
CROP.SOYBEAN.COMMERCIAL,2015,grain,403.1859020810777,bu,57.82,57.82,0c090e104b85e5d305640f9d43f32d0a8c5faeb6,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.SOYBEAN.COMMERCIAL,2015,grain,26993.434943045624,bu,378.0,,d1fdb5f7aeeac1fe38e570b263b8a876f19ebdae,726cce9d9800d792d1e0fbb83923ac4c6be4f668
CROP.SOYBEAN.COMMERCIAL,2015,grain,27620.68760026656,bu,40.0,40.38,cb1e3bd821dd673a0c378b16ba97075919aa993a,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.CORN.COMMERCIAL,2015,grain,41322.024804847584,bu,62.31,62.11,82de9e36652993a37ce5fbc55fa9033f425fb120,0966e34316e39217e4f26fbe20fc14e24c26567b
CROP.SOYBEAN.COMMERCIAL,2015,grain,13685.647874052913,bu,133.62,,6682442ec01eee124d9a2b40f049d2036596b969,598d17ec200eeb9e27ae829746ccf47c57761bc1
